author,comment,likes
@shubhamver,Bhai show ki ticket kaha se milti hai,0
@HisSlaveByChoice,Samay... Just play Chesssss... That is classes... <br>Point being you have to compete since Doland Trump,0
@Merina-y4j,Sukrudev&#39;s aura after that &quot;cut&quot;💯💯💯,0
@Merina-y4j,Surkrudev ka acting next level ka tha 💯❣️,2
@MdMohtasim-z4l,yuooottttttttttttttttt<br>j08uhklfbohi0ggdhi8dkgmd toityrtyhhrh<br>rh<br>h<br>g<br>hg<br>hrgh<br>g<br>h<br>g<br>g<br>g<br>gh<br>g<br><br><br>g<br>g<br>g<br>g<br><br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>gf<br>bthr<br>th<br><br>hth<br>th<br>t<br>h<br>trh<br>trtt<br><br>t<br>t<br>t<br>t<br>t<br>t,0
@sahilkhurana6889,Next episode kb ayega,0
@Gagandeep-qb5jw,Bro bring this trump as panelist for 1 episode (maybe in place of balraj gay),0
@talhashaikh3044,Episode 2 kab Ayega?,0
@ahmedparvez3283,"<a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=1529"">25:29</a> ❤️‍🩹",0
@thedailygrind_07,Trump was my favourite here 😂😂😂,0
@RishuMandal-g8g,Agla episode kb aayega,0
@shivam....kumar00007,I have questions to samay . Would you? 😅😅😅😅😅😅😂😂,0
@RebelliousLass,Alia looked odd man out.,0
@Study03-z9p,R2H ko bolao bhai <br>R2H ko bolai,0
@ayushplayz2990,❤❤,0
@praveenkumar-jf5nt,Bhanchuuuuuuu😂😂,0
@the24thcapricorn,"Highest point of Latent, lowest point of her career...what an introduction for Churaliya Bhatt 😂😂😂",0
@rahulmaran007,"अविनाश अग्रवाल के सामने सब के सब बच्चे जैसे बैठे थे, साला ट्रंप की पर्सनालिटी ही कुछ ऐसी है, wow धोलांड ड्रम ❤😂 , धो दिया, विनाश ने 😂😂",1
@UnknownEcho-j2j,"<b>DISCLAIMER</b> :- this video is not made for kids , except balraj singh ghai&#39;s kids because this is the only time they get to see their father 😂😂<br><b>LAST LINE epic who else noticed</b>",0
@WebNewsWala,"Who is waiting For INDIA’S GOT LATENT S2 EP2 @webnewswala <a href=""http://www.youtube.com/results?search_query=%23webnewswala"">#webnewswala</a>",1
@Aftabkhanmusic,Episode 2 kab ayegi????,0
@Darpan2411,Isko kyu Mila bhai National award,0
@shubhamyadav-cq6gi,Please take auditions from every State of India,0
@thesurvivor9468,Kya really alia bhatt hai 😅,0
@1Godkiller,😂😂😂😂😂😂😂😂,0
@aditichauhan008,"<a href=""https://www.youtube.com/watch?v=-N939leBdEY"">https://youtube.com/watch?v=-N939leBdEY&amp;lc=UgzZC4LCZAGrODrx6AV4AaABAg&amp;si=2V8V5HnsHt8TiZHG</a><br> If you are planning to visit  to shimla, then please visit our resort in shimla Orchid valley resort in koti shimla,  this is in between kufri and chail road.🙏",0
@RishikeshKumar-o9e,S2 we are back with a banger. Hats of to the bravery of these two girls and contestants.,0
